Setup ok
{.time=8030, .id=0x10, .len=1, .data={0x30}},
{.time=8047, .id=0x350, .len=1, .data={0x80}},
{.time=8049, .id=0x10, .len=1, .data={0x30}},
{.time=8067, .id=0x350, .len=1, .data={0x80}},
{.time=8070, .id=0x10, .len=1, .data={0x30}},
{.time=8085, .id=0x350, .len=1, .data={0x80}},
{.time=8089, .id=0x10, .len=1, .data={0x30}},
{.time=8107, .id=0x350, .len=1, .data={0x80}},
{.time=8110, .id=0x10, .len=1, .data={0x30}},
{.time=8126, .id=0x350, .len=1, .data={0x80}},
{.time=8130, .id=0x10, .len=1, .data={0x30}},
{.time=8148, .id=0x350, .len=1, .data={0x80}},
{.time=8150, .id=0x10, .len=1, .data={0x30}},
{.time=8166, .id=0x350, .len=1, .data={0x80}},
{.time=8169, .id=0x10, .len=1, .data={0x30}},
{.time=8185, .id=0x350, .len=1, .data={0x80}},
{.time=8189, .id=0x10, .len=1, .data={0x30}},
{.time=8206, .id=0x350, .len=1, .data={0x80}},
{.time=8209, .id=0x10, .len=1, .data={0x30}},
{.time=8226, .id=0x350, .len=1, .data={0x80}},
{.time=8229, .id=0x10, .len=1, .data={0x30}},
{.time=8248, .id=0x350, .len=1, .data={0x80}},
{.time=8250, .id=0x10, .len=1, .data={0x30}},
{.time=8265, .id=0x350, .len=1, .data={0x80}},
{.time=8269, .id=0x10, .len=1, .data={0x30}},
{.time=8287, .id=0x350, .len=1, .data={0x80}},
{.time=8289, .id=0x10, .len=1, .data={0x30}},
{.time=8306, .id=0x350, .len=1, .data={0x80}},
{.time=8309, .id=0x10, .len=1, .data={0x30}},
{.time=8326, .id=0x350, .len=1, .data={0x80}},
{.time=8329, .id=0x10, .len=1, .data={0x30}},
{.time=8348, .id=0x350, .len=1, .data={0x80}},
{.time=8349, .id=0x10, .len=1, .data={0x30}},
{.time=8366, .id=0x350, .len=1, .data={0x80}},
{.time=8369, .id=0x10, .len=1, .data={0x30}},
{.time=8385, .id=0x350, .len=1, .data={0x80}},
{.time=8389, .id=0x10, .len=1, .data={0x30}},
{.time=8406, .id=0x350, .len=1, .data={0x80}},
{.time=8409, .id=0x10, .len=1, .data={0x30}},
{.time=8426, .id=0x350, .len=1, .data={0x80}},
{.time=8429, .id=0x10, .len=1, .data={0x30}},
{.time=8446, .id=0x350, .len=1, .data={0x80}},
{.time=8449, .id=0x10, .len=1, .data={0x30}},
{.time=8467, .id=0x350, .len=1, .data={0x80}},
{.time=8470, .id=0x10, .len=1, .data={0x30}},
{.time=8487, .id=0x350, .len=1, .data={0x80}},
{.time=8488, .id=0x10, .len=1, .data={0x30}},
{.time=8510, .id=0x10, .len=1, .data={0x30}},
{.time=8512, .id=0x350, .len=1, .data={0x80}},
{.time=8525, .id=0x350, .len=1, .data={0x80}},
{.time=8528, .id=0x10, .len=1, .data={0x30}},
{.time=8546, .id=0x350, .len=1, .data={0x80}},
{.time=8549, .id=0x10, .len=1, .data={0x30}},
{.time=8565, .id=0x350, .len=1, .data={0x80}},
{.time=8568, .id=0x10, .len=1, .data={0x30}},
{.time=8586, .id=0x350, .len=1, .data={0x80}},
{.time=8589, .id=0x10, .len=1, .data={0x30}},
{.time=8605, .id=0x350, .len=1, .data={0x80}},
{.time=8608, .id=0x10, .len=1, .data={0x30}},
{.time=8626, .id=0x350, .len=1, .data={0x80}},
{.time=8629, .id=0x10, .len=1, .data={0x30}},
{.time=8647, .id=0x350, .len=1, .data={0x80}},
{.time=8649, .id=0x10, .len=1, .data={0x30}},
{.time=8666, .id=0x350, .len=1, .data={0x80}},
{.time=8669, .id=0x10, .len=1, .data={0x30}},
{.time=8685, .id=0x350, .len=1, .data={0x80}},
{.time=8688, .id=0x10, .len=1, .data={0x30}},
{.time=8706, .id=0x350, .len=1, .data={0x80}},
{.time=8709, .id=0x10, .len=1, .data={0x30}},
{.time=8726, .id=0x350, .len=1, .data={0x80}},
{.time=8728, .id=0x10, .len=1, .data={0x30}},
{.time=8749, .id=0x10, .len=1, .data={0x30}},
{.time=8751, .id=0x350, .len=1, .data={0x80}},
{.time=8765, .id=0x350, .len=1, .data={0x80}},
{.time=8768, .id=0x10, .len=1, .data={0x30}},
{.time=8785, .id=0x350, .len=1, .data={0x80}},
{.time=8788, .id=0x10, .len=1, .data={0x30}},
{.time=8805, .id=0x350, .len=1, .data={0x80}},
{.time=8808, .id=0x10, .len=1, .data={0x30}},
{.time=8825, .id=0x350, .len=1, .data={0x80}},
{.time=8828, .id=0x10, .len=1, .data={0x30}},
{.time=8847, .id=0x350, .len=1, .data={0x80}},
{.time=8849, .id=0x10, .len=1, .data={0x30}},
{.time=8865, .id=0x350, .len=1, .data={0x80}},
{.time=8868, .id=0x10, .len=1, .data={0x30}},
{.time=8885, .id=0x350, .len=1, .data={0x80}},
{.time=8888, .id=0x10, .len=1, .data={0x30}},
{.time=8905, .id=0x350, .len=1, .data={0x80}},
{.time=8908, .id=0x10, .len=1, .data={0x30}},
