Setup ok
{.time=5498, .id=0x10, .len=1, .data={0xF0}},
{.time=5515, .id=0x350, .len=1, .data={0x40}},
{.time=5518, .id=0x10, .len=1, .data={0xF0}},
{.time=5534, .id=0x350, .len=1, .data={0x40}},
{.time=5537, .id=0x10, .len=1, .data={0xF0}},
{.time=5554, .id=0x350, .len=1, .data={0x40}},
{.time=5557, .id=0x10, .len=1, .data={0xF0}},
{.time=5574, .id=0x350, .len=1, .data={0x40}},
{.time=5577, .id=0x10, .len=1, .data={0xF0}},
{.time=5595, .id=0x350, .len=1, .data={0x40}},
{.time=5598, .id=0x10, .len=1, .data={0xF0}},
{.time=5614, .id=0x350, .len=1, .data={0x40}},
{.time=5617, .id=0x10, .len=1, .data={0xF0}},
{.time=5635, .id=0x350, .len=1, .data={0x40}},
{.time=5637, .id=0x10, .len=1, .data={0xF0}},
{.time=5654, .id=0x350, .len=1, .data={0x40}},
{.time=5658, .id=0x10, .len=1, .data={0xF0}},
{.time=5673, .id=0x350, .len=1, .data={0x40}},
{.time=5677, .id=0x10, .len=1, .data={0xF0}},
{.time=5698, .id=0x10, .len=1, .data={0xF0}},
{.time=5700, .id=0x350, .len=1, .data={0x40}},
{.time=5714, .id=0x350, .len=1, .data={0x40}},
{.time=5718, .id=0x10, .len=1, .data={0xF0}},
{.time=5734, .id=0x350, .len=1, .data={0x40}},
{.time=5737, .id=0x10, .len=1, .data={0xF0}},
{.time=5753, .id=0x350, .len=1, .data={0x40}},
{.time=5756, .id=0x10, .len=1, .data={0xF0}},
{.time=5774, .id=0x350, .len=1, .data={0x40}},
{.time=5777, .id=0x10, .len=1, .data={0xF0}},
{.time=5794, .id=0x350, .len=1, .data={0x40}},
{.time=5797, .id=0x10, .len=1, .data={0xF0}},
{.time=5814, .id=0x350, .len=1, .data={0x40}},
{.time=5817, .id=0x10, .len=1, .data={0xF0}},
{.time=5834, .id=0x350, .len=1, .data={0x40}},
{.time=5836, .id=0x10, .len=1, .data={0xF0}},
{.time=5854, .id=0x350, .len=1, .data={0x40}},
{.time=5857, .id=0x10, .len=1, .data={0xF0}},
{.time=5874, .id=0x350, .len=1, .data={0x40}},
{.time=5876, .id=0x10, .len=1, .data={0xF0}},
{.time=5895, .id=0x350, .len=1, .data={0x40}},
{.time=5898, .id=0x10, .len=1, .data={0xF0}},
{.time=5914, .id=0x350, .len=1, .data={0x40}},
{.time=5916, .id=0x10, .len=1, .data={0xF0}},
{.time=5936, .id=0x350, .len=1, .data={0x40}},
{.time=5937, .id=0x10, .len=1, .data={0xF0}},
{.time=5954, .id=0x350, .len=1, .data={0x40}},
{.time=5956, .id=0x10, .len=1, .data={0xF0}},
{.time=5974, .id=0x350, .len=1, .data={0x40}},
{.time=5977, .id=0x10, .len=1, .data={0xF0}},
{.time=5994, .id=0x350, .len=1, .data={0x40}},
{.time=5998, .id=0x10, .len=1, .data={0xF0}},
{.time=6013, .id=0x350, .len=1, .data={0x40}},
{.time=6017, .id=0x10, .len=1, .data={0xF0}},
{.time=6034, .id=0x350, .len=1, .data={0x40}},
{.time=6036, .id=0x10, .len=1, .data={0xF0}},
{.time=6053, .id=0x350, .len=1, .data={0x40}},
